0 12406.6 167.851 30.8523 3005.49 301.027 50 478.288 458.016 50 
1 12303.8 157.137 29.4938 2749.31 286.858 44.6324 387.601 432.364 48.741 
2 12581.4 193.676 33.5551 4136.75 350.085 50 1003.21 522.599 50 
3 12653.8 195.49 33.5185 3481.59 351.607 50 708.561 519.284 50 
4 11784.6 158.522 29.8101 2557.22 287.147 50 388.558 441.257 37.0371 
5 12379.4 171.627 30.1014 2951.05 310.858 50 490.386 473.361 50 
6 12460 168.995 28.438 2969.58 306.581 50 518.811 467.509 50 
7 13556.1 197.401 30.4714 3545.08 356.536 50 732.36 533.947 50 
8 12240.8 173.205 31.9986 3170.94 310.371 50 545.428 468.126 50 
9 11343.7 163.82 29.838 2835.86 292.54 46.1913 436.721 440.621 50 
10 11680.7 174.886 31.4821 2803.26 314.409 50 433.718 474.068 50 
11 12016.3 185.277 34.3882 4273.02 336.464 50 1068.75 501.729 50 
12 12582.9 161.203 28.2534 2666.06 287.953 46.7451 382.191 438.21 48.5661 
13 10931.1 166.336 29.1336 2467.29 298.807 49.4067 369.392 454.564 50 
14 12690.5 189.357 32.0063 3365.38 338.683 50 655.84 506.236 50 
15 13128.3 200.301 34.1872 3056.63 359.364 50 497.313 530.809 50 
16 10856.9 158.677 29.4565 2742.51 282.146 43.3418 424.607 421.316 50 
17 12560.2 171.522 32.8621 3222.59 310.386 50 537.881 469.964 50 
18 10851.3 166.169 28.6829 2600.12 296.457 50 410.114 451.167 50 
19 10478.4 156.418 30.2401 2562.48 278.819 40.9013 374.738 409.75 50 
20 10497.8 151.365 27.609 2314.5 269.78 44.8438 324.092 411.173 45.7567 
21 11493.1 161.12 29.7352 3220.51 289.513 50 600.045 441.618 47.6298 
22 10394.6 159.329 30.6877 2405.09 285.598 43.8652 339.836 425.381 48.9433 
23 11194.5 156.291 29.5185 2646.76 282.824 44.8587 410.061 424.282 50 
24 10953.8 157.933 28.5843 2732.68 283.766 44.054 427.158 424.063 50 
25 9686.73 143.881 28.815 2053.49 257.859 40.2578 258.008 384.258 41.9995 
26 10196.4 157.903 30.3534 2312.96 282.075 42.6893 307.257 417.485 47.9999 
27 11078.9 165.995 31.4333 3082.33 298.343 46.3867 510.433 446.342 50 
28 10840 163.218 30.1587 2470.58 292.586 47.0449 358.836 439.625 50 
29 9818.73 147.383 27.1178 1878.22 263.406 42.1137 214.682 395.367 50 
30 10984.8 154.07 27.496 2551.89 278.12 46.4525 392.13 424.844 45.3684 
31 10423.3 159.305 29.8314 2326.72 286.241 43.5665 319.487 427.188 45.7256 
32 21.8072 2.71923 25.7155 -94.6086 8.21116 14.04 -68.9952 11.7208 13.8088 
33 316.468 3.38551 19.5864 63.2841 10.0092 10.5117 -435.013 13.828 12.5086 
34 38.4935 8.71661 20.4709 -311.781 18.2019 10.3572 19.9266 30.3524 10.257 
35 24.1554 14.4088 28.994 1670.06 22.0862 12.9201 -461.869 35.5618 10.0012 
36 27.7562 7.05457 30.6681 -35.8866 22.4012 18.9603 107.863 23.1006 13.0023 
37 13.093 6.45171 34.206 -52.262 7.77194 21.2568 6264.9 12.7564 10.0318 
38 52.719 4.74422 22.8975 -2.52468 9.40627 18.369 -476.089 17.3207 10.4415 
39 244.371 16.7719 48.0781 374.625 22.9966 26.2606 -483.299 35.0071 25.2136 
40 87.1359 5.55977 22.4713 890.405 11.2332 11.6386 -196.097 20.0383 11.1067 
41 368.868 9.73072 16.9417 71.4217 18.8381 15.2408 -2943.39 19.1994 10.0019 
42 157.773 7.31328 13.4696 190.779 15.8479 18.4645 -141.517 23.3147 13.6785 
43 206.826 4.55707 10.0531 5599.18 11.7277 10.9503 6.00199 11.7501 47.7246 
44 -4135.15 5.73006 17.0706 10.4969 19.8599 43.1118 857.001 28.1621 12.101 
45 874.681 8.85215 11.1306 54.4641 16.578 10.1431 70.2053 23.4525 14.3449 
46 32.2389 13.1248 25.1065 -15.8474 18.6514 10.0284 117.532 28.661 10.0847 
47 23 13.6173 24 2.3 27.2347 24 0.23 40.852 24 
48 92.1727 7.36167 20.5994 7.99468 19.2672 17.5684 20.2231 26.5549 16.8318 
49 50.8682 8.24703 31.2148 -43.9943 16.1528 22.2649 182.071 27.3417 10.3102 
50 1 20.5944 24 0.1 41.1887 24 0.01 61.7831 24 
51 322.309 8.87247 11.2627 84.9555 30.6875 10.0139 5.58231 42.9463 49.8961 
52 18807.5 4.61005 14.5195 314524 9.2042 10.241 -89357.3 9.32641 11.7622 
53 11.4993 7.80361 26.1649 -10.6996 15.2999 11.5127 69.3533 28.4438 10.2912 
54 1.85694 -16.5558 45.4906 0.0709374 -33.1115 39.6784 -2.01808 -49.6673 38.1759 
55 64021.7 0.00488573 0.000224201 7143.39 0.00957497 0.000211376 944.521 0.0143156 0.00024971 
56 56207.7 0.00695814 0.000251975 2117.69 0.0137004 0.000394355 525.833 0.0210653 -7.94027e-05 
57 38731.5 0.00493521 0.000191613 1614.44 0.00975004 0.000263723 84.5916 0.0145753 0.00032135 
58 60400.8 0.00517163 0.000258832 6007.58 0.0100078 0.000300325 919.612 0.0149081 0.000341359 
59 38296.5 0.00427678 0.000213819 2563.61 0.00829333 0.000266389 298.355 0.0123598 0.000259112 
60 62706.9 0.00471008 0.000211779 6785.48 0.00909121 0.000264216 1353.12 0.0135309 0.000261888 
61 58060.2 0.00453754 0.00021866 5519.38 0.0089858 0.000170754 977.581 0.013764 -1.62255e-05 
62 71684.6 0.00472562 0.000224294 7550.14 0.0091164 0.000278861 955.246 0.0137148 0.000377585 
