0 142.502
1 138.123
2 161.331
3 151.274
4 114.86
5 124.523
6 132.673
7 166.06
8 118.648
9 118.464
10 128.486
11 141.441
12 129.272
13 122.172
14 143.359
15 148.818
16 130.253
17 122.657
18 126.899
19 132.483
20 110.752
21 127.62
22 120.449
23 118.131
24 121.386
25 112.02
26 128.352
27 131.891
28 127.456
29 119.602
30 133.244
31 132.91
32 118.181
33 135.864
34 117.839
35 128.49
36 116.603
37 129.838
38 112.317
39 126.558
40 137.754
41 135.587
42 118.88
43 126.623
44 112.731
45 126.794
46 130.463
47 -0.991755
48 119.616
49 125.478
50 1.82768
51 131.708
52 123.972
53 128.612
54 -10.926
55 0.00377365
56 0.00662153
57 0.00460069
58 0.00459948
59 0.00398958
60 0.00436033
61 0.00430336
62 0.00428631
