0 156.404
1 137.823
2 163.112
3 157.617
4 123.882
5 141.463
6 128.317
7 163.958
8 125.48
9 127.822
10 129.492
11 153.255
12 133.466
13 130.304
14 140.684
15 157.316
16 138.132
17 124.108
18 130.533
19 132.962
20 130.035
21 126.896
22 127.825
23 126.244
24 141.044
25 -47.5747
26 123.394
27 121.255
28 131.746
29 135.532
30 125.41
31 132.63
32 130.709
33 131.182
34 115.349
35 134.928
36 112.298
37 139.065
38 112.539
39 127.927
40 129.096
41 121.005
42 121.024
43 130.595
44 115.072
45 117.469
46 128.734
47 2.67195
48 119.9
49 129.94
50 -5.71226
51 132.096
52 122.539
53 119.577
54 8.89405
55 0.00482629
56 0.00699641
57 0.00470533
58 0.00509711
59 0.00402804
60 0.0044835
61 0.00443692
62 0.00430891
