0 137.807
1 130.948
2 159.888
3 158.353
4 133.688
5 143.526
6 141.841
7 162.746
8 141.437
9 132.015
10 143.442
11 154.514
12 129.253
13 136.542
14 152.906
15 161.2
16 125.929
17 142.792
18 134.809
19 123.574
20 120.695
21 133.273
22 127.246
23 128.815
24 128.191
25 114.82
26 124.857
27 135.094
28 132.032
29 117.274
30 126.806
31 128.334
32 4.72516
33 5.36389
34 10.4927
35 10.5765
36 9.35268
37 2.98307
38 6.35197
39 8.75914
40 7.10362
41 5.0012
42 8.07121
43 3.83962
44 11.189
45 7.3002
46 7.52815
47 13.6173
48 9.82067
49 9.39902
50 20.5944
51 18.1569
52 2.20802
53 9.69428
54 -16.5558
55 0.00469784
56 0.00705356
57 0.00481491
58 0.00484753
59 0.00402336
60 0.00439383
61 0.00461324
62 0.00441924
