				
				
				
			0132	
		0822	1314	1319
	0916	0513	0329	1302
	0719	1208	1321	1529
	0933	1223	0326	0121
	0628	1220	1414	1510
	0619	1227	0210	1516
	1009	0410	0212	1507
	613	1214	1420	1514
