0 134.958
1 131.132
2 157.716
3 155.133
4 134.145
5 137.48
6 141.101
7 159.641
8 129.053
9 124.698
10 142.552
11 116.268
12 135.868
13 131.056
14 146.026
15 148.025
16 137.55
17 126.707
18 123.818
19 121.497
20 142.433
21 124.72
22 137.831
23 129.816
24 137.532
25 122.537
26 138.935
27 127.419
28 138.378
29 125.235
30 129.209
31 122.889
32 137.06
33 129.11
34 131.619
35 132.572
36 135.713
37 127.041
38 126.63
39 125.702
40 127.004
41 124.331
42 137.258
43 145.064
44 130.245
45 129.054
46 129.516
47 124.405
48 120.434
49 125.986
50 143.104
51 135.79
52 132.351
53 128.763
54 27.75
55 0.00452249
56 0.00444991
57 0.00437614
58 0.00508464
59 0.00481335
60 0.00472291
61 0.00456886
62 -0.000230056
