0 133.753
1 129.053
2 160.3
3 152.959
4 133.838
5 140.464
6 140.68
7 157.487
8 127.983
9 128.249
10 143.634
11 137.974
12 135.401
13 129.137
14 142.035
15 151.529
16 137.445
17 126.524
18 125.047
19 121.937
20 139.295
21 130.44
22 137.101
23 129.792
24 135.213
25 119.695
26 140.852
27 127.007
28 136.606
29 124.62
30 131.674
31 125.638
32 137.408
33 131.796
34 118.083
35 135.147
36 136.344
37 128.934
38 124.29
39 125.426
40 125.66
41 124.266
42 135.262
43 142.522
44 129.366
45 129.357
46 131.887
47 121.86
48 124.938
49 124.737
50 140.483
51 137.571
52 134.713
53 126.608
54 27.75
55 0.00678638
56 0.00663417
57 0.00435081
58 0.00712031
59 0.00419791
60 0.00430969
61 0.00456947
62 0.00424055
